10             2830                 106.69       63.30
50             565.19              21.34         12.66
100           282.6                10.67            6.33
150	          188.4                   7.11           4.22
200	          141.3                   5.33            3.16
250	          113.04                4.27           2.53
300	           94.2                   3.56           2.11
350	           80.74                 3.05            1.81
400	           70.65                 2.67            1.58
450	            62.8                  2.37              1.41
500	            56.52                2.13             1.27
1013.25 	27.89               1.05           0.62471
